facility_sk,Facility_Name,account_name,dba,pacfa_license_number,address,city,county,state,zip_code,latitude,longitude,region_polygon
134bf5de9df3e4e4a207cdfc5f056ea8,A cat rescue out in the sticks,A Cat Rescue Out in the Sticks,N/A,,,Eckley,YUMA,CO,,,,
159f60ba27fb08d5bafe5a2d4d08dee1,Animal Hospital of Telluride,,,,,,,,,,,
02ca8f4cbc09c4d82a1bd263200ea24d,"Ark Valley Humane Society, Inc","Ark Valley Humane Society, Inc",N/A,PL0006A2,701 Gregg Dr,Buena Vista,CHAFFEE,CO,81211,,,
f21672c2c731fbf7123ecfe7131b1d2e,"Cavalier King Charles Spaniel Club Rescue, Inc.","Cavalier King Charles Spaniel Club Rescue, Inc.",CKSCSCR or Cavalier Rescue USA,,,Boulder,BOULDER,CO,,,,
07e9a806d7ecce2be111c138be87bcfc,Cavy Care Inc,Cavy Care Inc,N/A,PL000C7K,,Aurora,ARAPAHOE,CO,80015,41.75527,-88.309507,1715
2cda6fb824056ff9f8794a4c92078269,City of Burlington Animal Shelter,City of Burlington Animal Shelter,N/A,PL000AUJ,"",Burlington,KIT CARSON,CO,80807,39.30193,-102.224478,1009
2b8d8af6330d5c665a70a075e3de91e7,Golden Retreiver Freedom Rescue,,,PL001011,8653 E 148th Lane,,Adams County,,80602,,,
5eedafe18ece9a2bd2a42435b659ae89,Homeless Boxer Care,,,,,,,,,,,
d3f75a9b3310a6d78280be635d8a1007,MaxFund Cats,,,,,,,,,,,
5eda24e5ad3492dd1e94e3c44e723e0f,MaxFund Meow Manor,,,,,,,,,,,
9144a6b8f752ef2a2fbb4e633e5f8402,Acadiana Animal Aid,,,,"",Walsenburg,Huerfano County,"",81089,37.654968,-104.803148,1006
c9ce784aea89935a224525c750d470ef,ROCKY MOUNTAIN YORKIE RESCUE,Rocky Mountain Yorkie Rescue,N/A,PL0017GB,"",Parker,DOUGLAS,CO,80134,39.518515,-104.762773,3133
6ab53ae8d62224fad0db3b68f363f9d4,San Nicola Dog Rescue,,,,,,Lincoln County,,,,,
5609096cc5bdc94f0f92870d0e33795c,"Whimpers to Wags Rescue, Inc.","Whimpers to Wags Rescue, Inc.",N/A,,,Colorado Springs,EL PASO,CO,,,,
59216fc3c2bbbc8e0a5e6630df604975,"Colorado Wyoming Vizsla Rescue Group, Inc",,,,,,,,,,,
1df66a9ab9b3bbed1edf4bb43ee8fb7b,InsideReef llc,InsideReef LLC,N/A,,,Colorado Springs,EL PASO,CO,,,,
b71ef448d7d05dc35b9422a38e3cc9d3,Paws For Life,,,PL00009U,800 N Pueblo Blvd,,Pueblo County,,81003,,,
720c0091107809eb8aac58ae47788f28,"Springer Spaniel Rescue, Inc","Springer Spaniel Rescue, Inc",N/A,,,Morrison,JEFFERSON,CO,,,,
bd10ffc505e4d8194742adf61a5acf9a,Aspen leaf Aviaries dba World of birds,,,,,,,,,,,
32f93632d4ab6cf4e23c0168cbbba805,Cats Alive SLV,cats alive slv,N/A,,,Del Norte,RIO GRANDE,CO,,,,
b42f8f421594806e79df08b3711e4145,"Denver Samoyed Association, Inc.",,,,"",Broomfield,Broomfield County,"",80023,39.969874,-105.01913,86
d1f7763865de5ed0c2544f252501d89f,Eagle County Animal Shelter & Services,,,PL000AQS,1400 Fairgrounds Rd,,Eagle County,,81631,,,
e4e7bf28ef484fce43f294500f838f85,Black Ops Rescue,Black Ops Rescue,N/A,,,Northglenn,ADAMS,CO,,,,
d116950021fd4af93b86f30b62a108b6,Colorado Reptile Humane Society,Colorado Reptile Humane Society,N/A,PL000ABH,13941 Elmore Road,Longmont,WELD,CO,80504,40.165729,-105.101194,85
ee56b493f4ca7103f4fdaf3612616b80,"High Country Basset Hound Rescue and Adoption Service, Inc.",,,,,,,,,,,
b4e4a25b90cb9cb1a05e218c5c4be0cd,Moe Moes Rescue of the Rockies,,,,,,,,,,,
f495199bf9ba230417aab0804a3debd4,Pets r people too,,,,,,,,,,,
5770d4b8a65d1af1d54eebe2db22ab8f,Rocky Mountain Scottie Rescue,,,,,,,,,,,
ddd4ce446196bfa5f70703cf16dc0052,El Paso County Canine Rescue,El Paso County Canine Rescue,N/A,,,Elbert,ELBERT,CO,,,,
e647b22f21cbe033d01efd48e7519587,German Shepherd Rescue Of Central Colorado,,,PL0010TH,2660 Campfire Rd,Hartsel Colorado,Park County,,80449,35.500801,-117.9478,1192
