statistic_sk,facility_sk,year,start_of_year_date,end_of_year_date,Facility_Name,animal_category,animal_type,start_of_year_in_shelter_count,start_of_year_in_foster_care_count,intake_stray,intake_relinquished,intake_in_state_transfer,intake_out_of_state_transfer,intake_other,outcome_adoption,outcome_return_to_owner,outcome_in_state_transfer,outcome_out_of_state_transfer,outcome_other,outcome_deaths,outcome_euthanasia,outcome_missing_or_stolen,end_of_year_in_shelter_count,end_of_year_in_foster_care_count
d4f08ce45f8a6172aafc5714d4ddabdd,b9ad042fa762d05566f11921e7accfb0,2015,2015-01-01,2015-12-31,CATS ALIVE!,cat,juvenile,0,0,3,6,0,0,10,7,0,10,0,17,0,2,0,0,0
03bbac60d3839c1fb198421082f2af81,69ed145b205996973e51dd42d70e376b,2015,2015-01-01,2015-12-31,Denver Dachshunds Rescue and Transport,dog,adult,32,32,0,19,123,65,0,179,0,0,0,0,5,0,0,30,30
fc4c5466ac7304211c5e17879a3565b3,3de33370d41d7b769edaafa15b84945e,2015,2015-01-01,2015-12-31,Mountain Pet Rescue,dog,adult,0,27,0,1,14,133,11,145,0,3,0,0,2,0,0,0,9
94cd44e45aa421f23d2cfa054ecc2325,42091b63b22ba42a8e74ff124f7518c8,2015,2015-01-01,2015-12-31,Rescuing Unwanted Furry Friends Sanctuary,dog,adult,0,0,0,10,1,27,0,27,0,5,1,0,0,0,2,3,3
77a9c921aa2e7b67639ce7f2aeeab679,0df46e19f0ff4d11f1f9e9bd483d785c,2015,2015-01-01,2015-12-31,Mesa County Animal Services,dog,juvenile,0,0,91,29,8,0,0,25,28,48,0,0,1,2,0,11,0
d885ef5aaf771f80f041b143a8eb18fb,c6d80475a2e75a659d0fc6f42768c4e7,2015,2015-01-01,2015-12-31,Humane Society of Fremont County,other,other,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
7d1beda037210837a0193cbe65a2e02f,a4e5b658ca0624c5450f7d3f08bc04b6,2015,2015-01-01,2015-12-31,"International Hearing Dog, Inc.",dog,adult,19,0,0,5,13,0,0,25,0,0,0,1,0,0,0,12,0
c1b8a2f19ae6c71607c2c16e0337ff3a,f8624a3d1e4d2b20aca684b879582d1d,2015,2015-01-01,2015-12-31,"Colorado Animal Rescue, Inc.",dog,adult,26,3,161,124,79,0,68,201,138,73,0,4,5,18,0,20,2
8b5fced2de0b915a67f029e77db1049c,51f425f42280caefd7e24cd05eb98bd2,2015,2015-01-01,2015-12-31,Doggy Dog World Rescue,dog,juvenile,0,0,0,0,0,126,0,124,0,0,0,0,1,0,0,1,1
2e1554817a7a756043820cb113e75e92,fbba4f4d79dcde0bf272a37f97751467,2015,2015-01-01,2015-12-31,pueblo animal services,other,reptiles and amphibians,0,0,3,0,0,0,3,0,2,4,0,0,0,0,0,0,0
